[Performance] 2025-03-24 09:59:49: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:50: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:51: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:52: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:59:53: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:54: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:55: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:56: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:57: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:58: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:59: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:00: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:01: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:02: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:03: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:04: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:05: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:06: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:07: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:08: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:09: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:10: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:11: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:12: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:00:13: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:14: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:15: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:16: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:17: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:00:18: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:19: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:20: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:21: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:22: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:23: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:25: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:26: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:27: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:28: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:29: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:30: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:31: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:32: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:00:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:34: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:36: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:37: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:38: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:39: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:40: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:41: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:42: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:43: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:44: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:45: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:46: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:47: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:00:48: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:49: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:00:50: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:51: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:52: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:53: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:54: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:55: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:56: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:57: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:58: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:00:59: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:00: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:01: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:02: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:01:03: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:04: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:05: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:06: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:07: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:01:08: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:09: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:10: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:11: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:12: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:01:13: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:14: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:15: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:16: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:17: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:18: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:19: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:20: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:21: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:22: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:23: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:25: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:26: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:27: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:28: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:29: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:30: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:31: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:32: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:34: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 10:01:36: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 10:01:37: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 10:01:38: 6243480 bytes/s, 49947840 bps, 120 fps
